Avdeling,Hva er din rolle?,Bruker du KI-verktøy i jobben din?,Hvilke KI-verktøy bruker du?,Hvilke språkmodeller foretrekker du?,Bruker du KI-funksjonalitet integrert i eksisterende domenespesifikke fagsystemer? ,Hvem betaler for KI-verktøyet?,Til hvilke oppgaver bruker du KI?,Hvorfor bruker du KI?,Hva opplever du som den største gevinsten ved bruk av KI?,Hvor trygg føler du deg på bruk av KI i jobben?,Har du fått opplæring i KI gjennom jobben?,Hva slags opplæring ønsker du?,"Kjenner du til Digdirs retningslinje for bruk av generativ KI?

https://digdir.sharepoint.com/SiteAssets/SitePages/Sidemal---endelig-versjon(110)/UO-Retningslinje-for-generativ-KI-v1.0.pdf?web=1",Hva opplever du som de største barrierene for å bruke KI mer i jobben? ,Hvordan vil du beskrive din generelle holdning til bruk av KI og språkmodeller i arbeidshverdagen?,Hvilket utsagn beskriver deg best?,Digdir bør ha tydelige policyer og retningslinjer for bruk av generativ KI,Digdir bør prioritere sikre enterprise-løsninger for KI,Digdir bør tilby praktisk opplæring i konkrete KI-verktøy,Digdir bør styrke generell KI-forståelse for alle ansatte,Digdir bør tilby spesialisert veiledning for utviklere,Digdir bør legge til rette for deling av erfaringer og beste praksis internt
BOD;,Seniorrådgiver;,"Ja, ukentlig",ChatGPT Plus (betalversjon);Microsoft Copilot M365 ;Google Gemini;Claude i nettleser;,"ChatGpt, Gemini og Claude ",Ikke noe særlig,Betaler selv; Benytter gratisversjon;,Tekstproduksjon;Analyse og rapportering;Oversettelse;,Effektivisering;Ressursmangel;Standardisering;Kreativitet og innovasjon;Økt kvalitet;,"Effektivitet og en kvalitetssikring, men også som hjelp til å utfordre, stille kritiske spørsmål, jobbe med større faglig bredde og inkludere fra start; komme med andre perspektiver inn i det man arbeider med. Kan være manglende faglige perspektiver grunnet lav eller manglende tilgang til de, og at man ønsker å ha det med «fra start» for så å kvalitetsikre med fagpersoner i videre prosesser. ",Verken utrygg eller trygg,"Ja, delvis, men det meste er egen utforskning",Etikk og personvern;Informasjonssikkerhet og risiko;Juridiske rammer;Bruk av KI i saksbehandling;Spisskompetanse kurs: Bruk av KI i strategisk produktutvikling. Synes også at det burde vært et valg for Bruk av KI i enkel programmering;,Ja,Usikkerhet rundt hva som er lov og tillatt;Usikkerhet/grenseoppgang: bruk privat og på jobb;,Ganske skeptisk,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Delvis enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Designer;,Av og til,ChatGPT (gratisversjon);Microsoft Copilot M365 ;Figma AI;,,"Bruker søket i Ansatt og lederportalen, tror det er KI?", Benytter gratisversjon;Anskaffet gjennom IT Drift;,Tekstproduksjon;Ideutvikling;,Effektivisering;,"Mulighet til å få unnagjort ""gjøre-oppgaver"" som jeg ellers har måtte brukt ganske mye tid på, f.eks. skrive tekst til dokumentasjon. Bruker jo fortsatt mye tid på skrive en god nok instruks og faglig gjennomgang i etterkant, men av og til kan det være god støtte på veien.",Verken utrygg eller trygg,Ja,Etikk og personvern;Teknisk forståelse;,Ja,Manglende tid til å lære;,Nøytral,"Jeg er positiv, men avventer tydeligere rammer og støtte.",Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig
BOD;,Seniorrådgiver;,"Ja, daglig",ChatGPT Plus (betalversjon);Claude Code;Github Copilot;,"Claude for koding, chatgpt for ""generelt""",Nei,"Betaler selv, men får refundert fra Digdir;",Kodegenerering;Tekstproduksjon;Ideutvikling;,Effektivisering;Kreativitet og innovasjon;,"Mye hjelp til ting som er utenfor egen kompetanse, fort å få opp noe som kan vises fram ",Ganske trygg,Nei,Teknisk forståelse;,Ja,,Ganske positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Helt enig,Verken uenig eller enig,Verken uenig eller enig,Delvis enig,Delvis enig,Delvis enig
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Seniorrådgiver;Backend-utvikler;,"Ja, daglig",ChatGPT Plus (betalversjon);Claude Code;Github Copilot;,"Til daglig ChatGpt, men Github copilot og Claude når jeg koder","Nei, jobber lite i disse verktøyene som nevnes her.
Har prøvd gratisversjoner på copilot i MS verktøy, uten stor gevinst.","Betaler selv;Vi fikk refusjon i deler av 2025, men er nå henvist til MS copilot.;",Kodegenerering;Ideutvikling;Prosessautomatisering;Power BI og Excel bistand;,Økt kvalitet;Kreativitet og innovasjon;Effektivisering;,Samtalepartneren jeg ikke finner andre steder. Som jeg kan diskutere alt med. Uløselige Problemstillinger løses på løpende bånder,Ganske trygg,Nei,Teknisk forståelse;Praktisk bruk av KI-verktøy;Bruk av agentisk KI ifbm koding;,Ja,Manglende tid til å lære;Manglende tilgang til riktige verktøy;,Ganske positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Helt enig,Delvis enig,Helt enig,Helt enig,Helt enig,Helt enig
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Seniorrådgiver;,"Ja, ukentlig",ChatGPT (gratisversjon);Microsoft Copilot M365 ;,Copilot,Nei, Benytter gratisversjon;,Tekstproduksjon;Ideutvikling;,Effektivisering;Økt kvalitet;,"Det går raskere å finne den info man trenger, raskere å lage en presentasjon, raskere å respondere på henvendelser, raskere å få tips osv",Ganske trygg,Nei,Praktisk bruk av KI-verktøy;Teknisk forståelse;,Ja,Manglende tilgang til riktige verktøy;Manglende kompetanse;,Ganske positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Helt enig,Delvis enig,Helt enig,Helt enig,Helt enig,Helt enig
BOD;,Seniorrådgiver;,"Ja, daglig",ChatGPT (gratisversjon);Microsoft Copilot M365 ;Rovo (i Confluence);,ChatGPT og Copilot,Bruker Rovo i Confluence ukentlig, Benytter gratisversjon;,Tekstproduksjon;Kodegenerering;Ideutvikling;,Effektivisering;Økt kvalitet;,Effektivisering og læring (læring spesielt knyttet til koding/kodegenerering),Ganske utrygg,ingen opplæring utover Innføringskurset,Praktisk bruk av KI-verktøy;Informasjonssikkerhet og risiko;Juridiske rammer;Teknisk forståelse;,Ja,Usikkerhet rundt hva som er lov og tillatt;Manglende kompetanse;,Svært positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Helt enig,Delvis enig,Helt enig,Delvis enig,Verken uenig eller enig,Delvis enig
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Rådgiver;,"Ja, daglig",ChatGPT Plus (betalversjon);Claude i nettleser;,,,"Betaler selv, men får refundert fra Digdir;",Ideutvikling;Kodegenerering;,Effektivisering;Kreativitet og innovasjon;,Enklere samlet informasjon for starten av dypere søk.,Ganske trygg,,Praktisk bruk av KI-verktøy;Informasjonssikkerhet og risiko;Juridiske rammer;,Ja,Ingen vesentlige barrierer;,Nøytral,"Jeg er positiv, men avventer tydeligere rammer og støtte.",Verken uenig eller enig,Helt enig,Delvis enig,Delvis enig,Verken uenig eller enig,Helt enig
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Seniorrådgiver;,"Ja, ukentlig",Claude Code;Claude i nettleser;Microsoft Copilot M365 ;,Claude for det jeg driver med,Sjelden,"Betaler selv, men får refundert fra Digdir;",Prosessautomatisering;Kodegenerering;Tekstproduksjon;Oversettelse;Analyse og rapportering;,Effektivisering;Økt kvalitet;Standardisering;Ressursmangel;,"Hastigheten - at jeg får gjort mer av det jeg skal på kortere tid. Men det krever at man følger med og sjekker hele tiden, boter gjør feil eller blir ""late"", selv om du gir med gode instrukser.",,"Startet selv, men fikk innføringskurs i KI etter hvert",Praktisk bruk av KI-verktøy;Teknisk forståelse;Informasjonssikkerhet og risiko;,Ja,Manglende tid til å lære;Manglende tilgang til riktige verktøy;Ingen vesentlige barrierer;,Ganske positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Helt enig,Delvis enig,Delvis enig,Helt enig,Verken uenig eller enig,Delvis enig
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Seniorrådgiver;Backend-utvikler;,"Ja, ukentlig",ChatGPT (gratisversjon);Github Copilot;,,, Benytter gratisversjon;Anskaffet gjennom IT Drift;,Kodegenerering;Ideutvikling;,Effektivisering;Kreativitet og innovasjon;Økt kvalitet;,Lage kode fra beskrivelse og diskutere løsninger fremfor å søke etter blogposter.,Ganske trygg,Nei,Har ikke behov for mer opplæring nå;,Nei,Manglende tilgang til riktige verktøy;Ingen vesentlige barrierer;,Nøytral,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Verken uenig eller enig,Verken uenig eller enig,Verken uenig eller enig,Verken uenig eller enig,Helt enig,Delvis enig
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Backend-utvikler;,"Nei, aldri",Bruker ikke KI-verktøy;,Ingen,Nei,Bruker ikke;,Bruker ikke KI;,,Man opplever at man er mer produktiv selv om man ikke blir det,Svært utrygg,Nei,Har ikke behov for mer opplæring nå;,Ja,"Det er så mange problemer med generativ KI, hvordan de er trent, hvordan treningsdataen samles, hvordan det brukes og hva selskapene som tilbyr det står for at det burde ikke være innenfor å bruke det i det hele tatt;",Svært skeptisk,Jeg er skeptisk til bruk av KI i jobbsammenheng.,Helt enig,Helt enig,Helt uenig,Verken uenig eller enig,Helt uenig,Verken uenig eller enig
BOD;,Leder;Seniorrådgiver;,"Ja, ukentlig",ChatGPT Business;,,,Anskaffet gjennom IT Drift;,Beslutningsstøtte;Ideutvikling;Tekstproduksjon;,Effektivisering;Kreativitet og innovasjon;,Kreativitet og spart tid,Ganske trygg,Nei,Praktisk bruk av KI-verktøy;Etikk og personvern;Informasjonssikkerhet og risiko;Juridiske rammer;,Ja,Ingen vesentlige barrierer;,Ganske positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Delvis enig,Delvis enig,Delvis enig,Helt enig,Delvis enig,Helt enig
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Seniorrådgiver;,"Ja, ukentlig",ChatGPT Plus (betalversjon);Microsoft Copilot M365 ;,,Nei,"Betaler selv, men får refundert fra Digdir;",Tekstproduksjon;Analyse og rapportering;Oversettelse;,Effektivisering;Økt kvalitet;,Effektivitetsgevinst,Ganske trygg,Ja,Praktisk bruk av KI-verktøy;Informasjonssikkerhet og risiko;,Ja,Manglende tid til å lære;,Svært positiv,"Jeg er positiv, men avventer tydeligere rammer og støtte.",Delvis enig,Helt enig,Helt enig,Delvis enig,Delvis enig,Helt enig
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Produktleder;Frontend-utvikler;Backend-utvikler;,"Ja, ukentlig",ChatGPT (gratisversjon);Github Copilot;Claude i nettleser;Claude Code;,Claude/anthropic,Github copilot i utviklingsverktøy,"Betaler selv, men får refundert fra Digdir; Benytter gratisversjon;",Oversettelse;Kodegenerering;,Kreativitet og innovasjon;Effektivisering;,"Jeg kan få testet ut en ide raskt, uten å måtte bruke masse tid på oppsett. Så kan jeg fokusere på detaljene og resultatet.",Ganske trygg,Nei,Etikk og personvern;Praktisk bruk av KI-verktøy;Teknisk forståelse;Informasjonssikkerhet og risiko;Juridiske rammer;,Ja,Manglende tid til å lære;,Nøytral,"Jeg er positiv, men avventer tydeligere rammer og støtte.",Helt enig,Helt enig,Helt enig,Helt enig,Delvis enig,Helt enig
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Seniorrådgiver;,Av og til,ChatGPT (gratisversjon);Microsoft Copilot M365 ;Claude i nettleser;Google sin AI-oppsummering knyttet til søkemotor;,Har ingen klar favoritt per i dag. ,Nei., Benytter gratisversjon;,Oversettelse;Tekstproduksjon;Ideutvikling;,For å lære mer om hvordan KI kan bli et nyttig verktøy i min hverdag;,"Sparringspartner for å rydde i egne tanker, tekstforbedring, et utgangspunkt for oversettelse. ",Ganske trygg,Ikke utover innføringskurs.,Etikk og personvern;Praktisk bruk av KI-verktøy;Informasjonssikkerhet og risiko;Juridiske rammer;,Nei,Usikkerhet rundt hva som er lov og tillatt;Uklare retningslinjer;Manglende tid til å lære;Manglende tilgang til riktige verktøy;Personvern;,Ganske skeptisk,Jeg er skeptisk til bruk av KI i jobbsammenheng.,Helt enig,Delvis enig,Delvis enig,Delvis enig,Helt enig,Delvis enig
BOD;,Designer;Seniorrådgiver;,"Ja, daglig",ChatGPT (gratisversjon);Figma AI;Microsoft Copilot M365 ;,,usikker,Betaler for noe selv;,Tekstproduksjon;Analyse og rapportering;Oversettelse;Beslutningsstøtte;Ideutvikling;Prosessautomatisering;,Effektivisering;Kreativitet og innovasjon;,"tidsbesarelse, en sparringspartner under Ideutvikling, hjelper meg med å forklare teknisk tunge tekster til mer forståelig språk slik at jeg forstår tekniske ting bedre",Ganske trygg,Ja,Etikk og personvern;Praktisk bruk av KI-verktøy;,Ja,Manglende kompetanse;Manglende tilgang til riktige verktøy;,Ganske positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Helt enig,Helt enig,Helt enig,Helt enig,Delvis enig,Helt enig
BOD;,Seniorrådgiver;,Av og til,ChatGPT (gratisversjon);,,Rovo, Benytter gratisversjon;,Tekstproduksjon;Prosessautomatisering;,Effektivisering;Krav fra ledelse/prosjekt;Kreativitet og innovasjon;,Det går raskere enn å gjøre jobben uten KI,Verken utrygg eller trygg,Ja,Praktisk bruk av KI-verktøy;,Ja,Manglende tid til å lære;,Ganske positiv,Jeg er usikker på hvordan KI passer inn i min rolle.,Verken uenig eller enig,Verken uenig eller enig,Helt enig,Delvis uenig,Helt enig,Helt enig
BOD;,Innleid konsulent;Backend-utvikler;,"Ja, daglig",ChatGPT Plus (betalversjon);Github Copilot;Claude Desktop;Claude Code;,Claude funker bra for koding.,Nei.,Betaler selv;,Tekstproduksjon;Kodegenerering;Oversettelse;Beslutningsstøtte;Ideutvikling;,Effektivisering;Økt kvalitet;Kreativitet og innovasjon;Læring. Henge med i utviklingen.;,Rask produksjon av den ikke så veldig kompliserte delen av koden.,Svært trygg,Ja,Praktisk bruk av KI-verktøy;Teknisk forståelse;Informasjonssikkerhet og risiko;Bruk av KI i saksbehandling;Har ikke behov for mer opplæring nå;,Ja,Usikkerhet rundt hva som er lov og tillatt;,Svært positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Delvis uenig,Delvis uenig,Verken uenig eller enig,Verken uenig eller enig,Verken uenig eller enig,Helt enig
BOD;,Seniorrådgiver;,Av og til,ChatGPT (gratisversjon);Microsoft Copilot M365 ;Google Gemini;,,Nei, Benytter gratisversjon;Anskaffet gjennom IT Drift;,Analyse og rapportering;Beslutningsstøtte;Ideutvikling;Prosessautomatisering;Tekstproduksjon;,Effektivisering;Økt kvalitet;,"rask og enkel måte å få oversikt over et tema, raskt utføre en grov-analyse osv. ChatGPT kan konfigureres til å være kritisk og ""opponere"" dine ideer eller påstander ",Verken utrygg eller trygg,Nei,Praktisk bruk av KI-verktøy;Teknisk forståelse;Informasjonssikkerhet og risiko;Juridiske rammer;,Ja,Manglende kompetanse;Uklare retningslinjer;Usikkerhet rundt hva som er lov og tillatt;Manglende tilgang til riktige verktøy;,Ganske positiv,"Jeg er positiv, men avventer tydeligere rammer og støtte.",Helt enig,Helt enig,Delvis enig,Delvis enig,Helt enig,Helt enig
,,,,,,,,,,,,,,,,,,,,,,
BOD;,Designer;Leder;Seniorrådgiver;,"Ja, daglig",Google Gemini;Claude i nettleser;Claude Desktop;Claude Code;,"Claude ettersom det gir meg muligheten til å bruke samme modell både for vanlig admin arbeid, idegenerering, samt context engineering. Samtidig opplever jeg at svarene har en høyere kvalitet enn det jeg har opplevd med andre modeller tidligere. Når det er sagt så er det fortsatt en høy grad av lange svar med gjentagende informasjon som en må ""tvinge"" modellen til å korte ned og ""agreeableness"" i svarene.","Nei, jeg opplever ikke co-pilot innebygd i microsoft sine produkter som verken brukervennlig eller noe særlig nyttige i måten det er satt opp på.",Betaler selv;,Tekstproduksjon;Analyse og rapportering;Oversettelse;Kodegenerering;Beslutningsstøtte;Ideutvikling;Prosessautomatisering;,Kreativitet og innovasjon;Effektivisering;Økt kvalitet;,En sparringspartner som hjelper en å tenke. Men som med en vanlig kollega så er det alltid fint å ikke stole blindt på det som blir sagt.,Ganske trygg,Nei,Teknisk forståelse;Informasjonssikkerhet og risiko;Praktisk bruk av KI-verktøy;,Ja,Manglende tid til å lære;Manglende integrasjon med Digdirs systemer;,Svært positiv,"Jeg er nysgjerrig, og tar aktivt i bruk KI der det er mulig.",Verken uenig eller enig,Verken uenig eller enig,Helt enig,Helt enig,Helt enig,Helt enig
